id_observacion,cancion_artista,color,calificacion,escuchas_previas,edad_anios,nivel_energia
450,El Diablo .Mon Laferte,magenta,3.69,13,19,2
451,A XON DE QUE - FEID,amarillo,3.73,12,19,3
452,Devil in a new dress Kanye West,amarillo,2.57,5,21,4
453,AVOIDANT - Melanie Martinez,magenta,4.04,18,18,2
454,Blinding Lights - The Weeknd,amarillo,2.28,3,23,5
455,Without you -Mariah Carey,magenta,3.65,16,21,3
456,Locked out of heaven-Bruno Mars,amarillo,4.33,15,19,3
457,"Mama, My Chemical Romance",azul,2.9,5,23,2
458,Algo Mágico - Rauw Alejandro,azul,3.82,19,25,1
459,Después de ti ¿quién? - La adictiva,azul,2.44,1,20,1
460,Cold Heart - Dua Lipa,amarillo,1.78,4,20,3
461,Unloveable - The Smiths,amarillo,2.65,12,21,2
462,SUSU - Omar Courts,amarillo,2.51,14,23,5
463,Notion - The Rare Ocassions,amarillo,1.72,2,19,4
464,Ni que valieras tanto el poder del norte,amarillo,1.81,0,24,1
465,Stay Post Malone,azul,4.23,15,19,4
466,Aizo-King Gnu,magenta,1.75,1,21,4
467,LOVELANGUAGE - Nsqk,amarillo,2.93,10,20,3
468,Corazones - Motel,amarillo,4.01,14,24,5
469,Hasta Que Te Conocí - Juan Gabriel,magenta,3.88,11,25,4
470,Toma 1 C-kan,magenta,3.78,14,23,3
471,Dame un beso - Mario Santander,amarillo,1.44,3,18,2
472,"Gustavo Cerati, jugo de luna",magenta,3.31,13,21,2
473,Somebody Else - The 1975,azul,3.79,9,20,1
474,Ebrio de Amor - Alta Consignia,magenta,1.38,2,21,4
475,LOVELANGUAGE - Nsqk,amarillo,3.94,19,19,4
476,Breathe de the prodigy,amarillo,4.2,18,21,3
477,"Message in a Bottle, Taylor Swift",amarillo,3.35,9,19,4
478,ATM - Don Toliver,magenta,3.59,12,23,5
479,Nightcall-kavinsky,magenta,2.78,13,18,2
480,"Message in a Bottle, Taylor Swift",amarillo,1.92,1,25,3
481,505 - Artic Monkeys,amarillo,2.49,11,21,5
482,Happier-Olivia Rodrigo,magenta,3.28,10,22,3
483,Rauw Alejandro - expreso Martini,amarillo,2.66,9,19,1
484,Headshots - Isaiah Rashad,magenta,2.33,8,25,3
485,Somebody Else - The 1975,azul,1.62,2,19,2
486,Everybody Mac Miller,azul,2.54,11,18,3
487,amoreux Alleu,magenta,2.56,7,20,3
488,Champagne Supernova - Oasis,azul,2.15,4,23,4
489,Cold Heart - Dua Lipa,amarillo,2.95,12,19,1
490,Good 4 u olivia rodrigo,amarillo,3.15,16,20,4
491,I'm outta time - Oasis,azul,4.33,16,23,1
492,"Mi buen amor - Mon Laferte, Bunbury",amarillo,2.5,8,23,2
493,Navigating - Twenty One Pilots,azul,4.7,19,20,1
494,Te Soñé Coyote,magenta,2.82,14,18,3
495,SexyBack-Justin Timberlake,azul,2.57,2,18,4
496,ATM - Don Toliver,magenta,3.78,18,25,4
497,PERDISTE EL EMMY - Álvaro Díaz,azul,1.87,5,23,3
498,"Jimmy Hendrix, Angel",azul,3.84,13,25,4
499,Baby Doll Dominic Fike,azul,2.27,11,24,5
500,"Poetic Justice, Kendrick Lamar",amarillo,1.58,4,22,4
501,Dame un beso - Mario Santander,amarillo,2.87,15,25,1
502,Every Breath You Take - The Police,amarillo,2.37,10,20,1
503,Vía Láctea - Zoé,magenta,2.59,11,25,5
504,Devil in a new dress Kanye West,amarillo,2.43,4,19,3
505,Whisper My Name. Drake,azul,2.23,8,22,2
506,Whisper My Name. Drake,azul,2.95,7,23,5
507,"Nangs,Tame Impala",amarillo,2.58,3,21,4
508,Cara de Carnaval -- Timbalada,amarillo,2.97,17,24,3
509,Me gusta - Shakira y Anuel AA,azul,3.21,20,18,3
510,I was Made for lovin'you-KISS,magenta,4.03,15,23,5
511,PUNK ROCKY. A$AP ROCKY,azul,2.98,9,22,5
512,"Poetic Justice, Kendrick Lamar",amarillo,2.92,3,24,3
513,Hasta Que Te Conocí - Juan Gabriel,magenta,2.67,4,19,3
514,Homewrecker - Sombr,amarillo,3.1,11,19,1
515,LESS THAN A LOVER - JENNIE,magenta,4.67,20,20,3
516,Matte black $uicideboy$,magenta,4.4,19,23,4
517,Quédate. Isi Vives,amarillo,3.03,3,21,4
518,Polos opuestos natanael cano,azul,3.56,16,22,3
519,Neverita- Bad Bunny,azul,2.79,9,18,4
520,Evergreen-omar apollo,magenta,2.32,3,22,1
521,"Brilloteo, Álvaro Diaz",magenta,3.82,12,20,3
522,Past Won’t Leave My Bed. Joji,magenta,4.04,13,20,4
523,"Skin, Mac Miller",amarillo,2.51,10,20,3
524,BAMBUA - K-KING Y MAXIMAN,amarillo,2.34,6,19,3
525,Cara de Carnaval -- Timbalada,amarillo,2.38,12,23,5
526,SUPERPOSITION. Daniel Caesar,amarillo,4,18,22,5
527,Después de ti ¿quién? - La adictiva,azul,4.35,19,22,5
528,Mi niña - Gabito Ballesteros y Víctor Mendivil,azul,3.13,5,24,2
529,Dardos - Romeo Santos y Prince Royce,magenta,1.77,5,20,1
530,Diet Pepsi - Adisson Rae,amarillo,2.79,10,19,1
531,"Message in a Bottle, Taylor Swift",amarillo,2.3,6,23,1
532,Blinding Lights - The Weeknd,amarillo,1.93,2,22,1
533,I was Made for lovin'you-KISS,magenta,3.1,19,20,4
534,It aint me Kygo,magenta,4.05,14,23,4
535,Breathe de the prodigy,amarillo,3.28,17,24,3
536,Quédate. Isi Vives,amarillo,2.64,12,20,1
537,Woods - Mac Miller,azul,3.39,5,21,4
538,Her. JVKE,magenta,2.53,8,24,2
539,Headshots - Isaiah Rashad,magenta,3.21,15,21,1
540,Every Breath You Take - The Police,amarillo,4.2,17,24,4
541,"Piel, Nsqk",azul,2.77,8,19,4
542,Locked out of heaven-Bruno Mars,amarillo,4.48,16,24,3
543,Rauw Alejandro - expreso Martini,amarillo,2.24,11,18,4
544,Past Won’t Leave My Bed. Joji,magenta,4.18,13,20,5
545,Silencio - Rauw Alejandro,magenta,4.21,20,22,5
546,POWER - Kanye West,azul,3.23,4,20,5
547,Diet Pepsi - Adisson Rae,amarillo,2.34,7,20,2
548,"Ivy, Franck ocean",azul,2.65,8,22,1
549,Music Box of Fate - Ironmouse,azul,3.91,15,21,1
550,Jazz (We’ve Got) - A Tribe Called Quest,magenta,3.18,16,22,1
551,Me gusta - Shakira y Anuel AA,azul,2.8,12,21,4
552,Duele. Isi Vives,magenta,1.23,0,23,5
553,Only a Fool would say that - Steely dan,magenta,3.78,10,20,1
554,Dramatic Girl - Baby Keem,azul,3.78,15,18,2
555,Callaita Bad bunny,azul,2.24,10,25,2
556,Cara de Carnaval -- Timbalada,amarillo,3.61,11,22,1
557,"Brilloteo, Álvaro Diaz",magenta,3.55,12,18,1
558,Blinding Lights - The Weeknd,amarillo,4.07,13,22,5
559,Back of the car - Nate Hendricks,magenta,3.19,7,25,5
560,Baby Doll Dominic Fike,azul,3.62,8,19,3
561,"Nangs,Tame Impala",amarillo,2.95,17,18,3
562,Somebody Else - The 1975,azul,2.66,13,19,5
563,Give Me Everything-Pitbull,amarillo,1.8,4,19,2
564,Nightcall-kavinsky,magenta,1.62,1,24,3
565,"Ivy, Franck ocean",azul,2.61,5,22,2
566,Karmadame - Zoé,magenta,2.31,4,19,2
567,Under a Violet Moon -- Blackmore's Night,azul,3.04,8,18,3
568,Aishite Aishite Aishite - Ado,azul,2.94,12,23,3
569,Silencio - Rauw Alejandro,magenta,3.02,12,22,3
570,Mr. Brightside - The killers,magenta,2.39,6,20,3
571,"Marvin Gaye, If I should die tonight",azul,3.49,17,18,4
572,Gavilán o Paloma .José José,magenta,2.74,1,18,1
573,"Love hangover - Jennie, Dominic Fike",magenta,2.42,0,24,5
574,Back to December - Taylor Swift,azul,2.12,1,22,3
575,EL ÚNICO - Ca7riel y Paco Amoroso,amarillo,2.19,10,25,5
576,Under a Violet Moon -- Blackmore's Night,azul,2.46,3,20,2
577,PURPLE - OLIVIA RODRIGO,amarillo,1.52,3,25,3
578,Bold - Liam Gallagher,amarillo,3.17,14,24,5
579,WHITE BOY WITH A GUN - Melanie Martinez,azul,3.62,10,20,2
580,Bachata en Fukuoka - Juan Luis Guerra,amarillo,4.36,18,24,5
581,No time to die - Billie Eilish,amarillo,4.08,12,23,3
582,In the closet - Michael Jackson,magenta,3.49,8,18,2
583,Duele. Isi Vives,magenta,3.16,13,21,5
584,Symphony- imagine dragons,azul,2.94,11,22,3
585,Happier-Olivia Rodrigo,magenta,3.73,11,19,3
586,Explícale (feat. Bad Bunny) - Yandel y Bad Bunny,azul,2.66,6,20,1
587,El Diablo .Mon Laferte,magenta,2.57,8,24,1
588,ATM - Don Toliver,magenta,1.12,0,18,2
589,Callaita Bad bunny,azul,3.32,20,25,2
590,Dame un beso - Mario Santander,amarillo,1.67,0,22,4
591,She Will Be Loved - Maroon 5,amarillo,1.75,3,21,4
592,She Will Be Loved - Maroon 5,amarillo,3.87,20,22,5
593,I Really Want to Stay At Your House-Rosa Walton,magenta,1.55,3,22,1
594,Luna Roja - Soda Stereo,azul,2.98,12,18,1
595,Recess - Melanie Martinez,amarillo,3.23,9,25,2
596,This love - Maroon 5,magenta,3.73,11,24,5
597,Champagne Supernova - Oasis,azul,3.01,15,23,3
598,Dame un beso - Mario Santander,amarillo,3.37,15,22,1
599,"I Still Believe, Hayden Panettiere",amarillo,2.9,2,21,5
600,El Diablo .Mon Laferte,magenta,4.44,18,20,5
601,"Love hangover - Jennie, Dominic Fike",magenta,3.09,5,24,2
602,Die with a smile-Bruno Mars y Lady Gaga,amarillo,4.47,20,19,5
603,Her. JVKE,magenta,2.03,6,21,2
604,Symphony- imagine dragons,azul,3.41,11,19,1
605,Honeybee - Olivia Rodrigo,amarillo,1.62,5,23,2
606,Flavius' Girl -- Farya Faraji,magenta,3.75,19,21,3
607,Superestrella. Aitana,magenta,2.16,8,22,1
608,Watermelon man version headhunters - Herbie hancock,magenta,4.38,20,25,1
609,Corazones - Motel,amarillo,2.02,5,23,5
610,Wicked Games - The Weekend,amarillo,3.24,17,21,2
611,COMË N GO- Yeat,amarillo,3.51,18,18,3
612,Shinunoga E-Wa - Fuji Kaze,amarillo,2.91,13,24,4
613,Dirty Diana - Michael Jackson,azul,2.9,9,18,5
614,LOVELANGUAGE - Nsqk,amarillo,2.14,1,23,4
615,Matte black $uicideboy$,magenta,3.45,15,23,2
616,"La torre NY, Natanael Cano",magenta,3.04,19,18,3
617,Cake - Melanie Martinez,azul,2.3,9,23,1
618,The Weeknd -one of The grils,azul,4.35,18,24,3
619,Una flor - Pimpinela,magenta,4.33,19,22,2
620,"Jako, Ladaniva",magenta,1.4,2,25,2
621,"Cuscra, Lia Taburcean",magenta,3.02,2,20,4
622,"Stefan, Hrdza",azul,3.33,7,24,1
623,Give Me Everything-Pitbull,amarillo,3.26,6,24,1
624,Instant Crush Daft Punk,azul,3.1,17,22,3
625,Más Te Recuerdo Julión Alvarez,magenta,2.28,11,20,5
626,Silencio - Rauw Alejandro,magenta,3.69,10,24,4
627,No tiene sentido - Beele,amarillo,3.53,17,25,2
628,"Nangs,Tame Impala",amarillo,3.1,20,24,3
629,Honeybee - Olivia Rodrigo,amarillo,2.48,11,18,4
630,Recess - Melanie Martinez,amarillo,2.04,4,21,4
631,Show - Ado,azul,2.98,5,22,2
632,SexyBack-Justin Timberlake,azul,3.52,18,23,3
633,Talk - Beabadoobee,azul,2.06,0,21,1
634,Tek It .Cafuné,magenta,1.42,0,21,2
635,"Kendrick Lamar, Gloria",amarillo,3.35,10,19,5
636,New Darling -- Maretu,magenta,3.29,12,24,1
637,Rauw Alejandro - expreso Martini,amarillo,2.8,10,18,3
638,Bambous -- Caravan Palace,amarillo,1.54,1,22,1
639,Sticks & Stones - Lauren Spencer Smith,magenta,3.85,19,22,5
640,"Mi buen amor - Mon Laferte, Bunbury",amarillo,3.18,14,19,1
641,Genesis $uicideboy$,magenta,3.19,16,25,1
642,A XON DE QUE - FEID,amarillo,2.16,2,18,3
643,"Jimmy Hendrix, Angel",azul,3.46,6,22,1
644,"Eu vreau maritata, Nadia Bologan",amarillo,2.27,9,18,5
645,MALASNOTICIAS. Álvaro Diaz,amarillo,1.52,1,21,1
646,Music Box of Fate - Ironmouse,azul,1.89,6,18,1
647,Mi niña - Gabito Ballesteros y Víctor Mendivil,azul,1.76,2,22,2
648,Everybody Here Wants You - Jeff Buckley,azul,3.37,15,23,5
649,"I Still Believe, Hayden Panettiere",amarillo,3.46,18,20,1
650,Bachata en Fukuoka - Juan Luis Guerra,amarillo,2.91,6,19,4
651,"Chicago freestyle, Drake",amarillo,4,12,19,4
652,PURPLE - OLIVIA RODRIGO,amarillo,2.92,16,21,2
653,Someone like you-Adele,amarillo,2.52,2,24,3
654,"Baby again.. - Fred Again.., Skrillex y Four tet",magenta,2.56,6,19,4
655,Feet Don't Fail Me Now .Joy Crookes,amarillo,1.99,5,25,3
656,Aishite Aishite Aishite - Ado,azul,1.72,4,18,4
657,"La torre NY, Natanael Cano",magenta,2.17,7,25,5
658,Past Won’t Leave My Bed. Joji,magenta,4.35,15,19,1
659,24 hrs de nine vicious,azul,3.12,14,20,4
660,Aguanta corazon Los invasores de nuevo leon,amarillo,3.02,17,23,1
661,Talk - Beabadoobee,azul,4.02,12,24,4
662,Sunshine de steve lacy,azul,3.42,15,21,3
663,Dumb boy - ALMAS,azul,1.82,3,24,2
664,Champagne Supernova - Oasis,azul,1.48,0,22,1
665,Extssy model junior h,amarillo,2.36,1,24,3
666,fantasmas - Humbe,amarillo,3.46,10,25,2
667,Back of the car - Nate Hendricks,magenta,3.86,12,18,3
668,Somebody Else - The 1975,azul,3.14,4,22,5
669,PURPLE - OLIVIA RODRIGO,amarillo,3,2,24,5
670,Bodies - Offset,azul,2.77,7,23,4
671,SUPERPOSITION. Daniel Caesar,amarillo,2.98,12,20,2
672,SUPERPOSITION. Daniel Caesar,amarillo,2.54,1,20,5
673,"Jako, Ladaniva",magenta,4.02,18,18,3
674,I Really Want to Stay At Your House-Rosa Walton,magenta,1.91,5,23,2
675,"Message in a Bottle, Taylor Swift",amarillo,3.68,13,23,4
676,Show - Ado,azul,4.33,16,22,3
677,Dirty Diana - Michael Jackson,azul,1.64,3,22,5
678,Navigating - Twenty One Pilots,azul,1.39,0,24,1
679,Whisper My Name. Drake,azul,3.32,5,24,5
680,Dirty Little Secret - The All-American Rejects,azul,3.41,17,21,2
681,Shinunoga E-Wa - Fuji Kaze,amarillo,1.49,0,20,4
682,Not like us - Kendrick Lamar,amarillo,2.01,8,25,3
683,Gavilán o Paloma .José José,magenta,3.79,9,19,2
684,Navigating - Twenty One Pilots,azul,3.02,2,20,1
685,"Making My Way, Leslie Mills",magenta,2.77,5,24,1
686,Back to December - Taylor Swift,azul,3.58,15,22,2
687,Woods - Mac Miller,azul,2.11,2,24,4
688,"Chicago freestyle, Drake",amarillo,3.9,18,23,1
689,505 - Artic Monkeys,amarillo,3.47,10,25,2
690,Back to friends - Sombr,azul,2.51,6,23,3
691,24 hrs de nine vicious,azul,2.82,12,24,5
692,Music Box of Fate - Ironmouse,azul,4.23,18,19,3
693,NO PODEMOS SER AMIGOS Alvaro Diaz,magenta,1.82,1,25,2
694,Good 4 u olivia rodrigo,amarillo,2.89,12,25,2
695,Te Soñé Coyote,magenta,2.75,12,18,3
696,Someone like you-Adele,amarillo,2.66,0,20,4
697,Silencio - Rauw Alejandro,magenta,3.65,18,18,1
698,Instant Crush Daft Punk,azul,3.27,18,21,1
699,Oye mi amor- mana,magenta,3.47,9,21,3
700,si te pillara Beele,magenta,2.04,0,21,2
701,Crack Rock - Frank Ocean,azul,2.51,10,18,1
702,lencois maranhenses - Beele,magenta,1.94,1,18,5
703,Hasta Que Te Conocí - Juan Gabriel,magenta,1.7,1,20,2
704,Porcelain de moby,amarillo,2.84,16,22,4
705,"Kendrick Lamar, Gloria",amarillo,2.27,6,20,3
706,"Sofia, Clairo",azul,2.32,4,21,2
707,Stay Post Malone,azul,3.33,18,24,3
708,Te Soñé Coyote,magenta,2.81,3,23,2
709,Dumb boy - ALMAS,azul,3.35,6,25,2
710,Toma 1 C-kan,magenta,1.47,3,21,2
711,I Really Want to Stay At Your House-Rosa Walton,magenta,1.46,0,19,4
712,Not like us - Kendrick Lamar,amarillo,4.33,17,21,1
713,Dirty Little Secret - The All-American Rejects,azul,3.77,17,18,2
714,Yanblock-666,amarillo,2.01,4,19,2
715,the cure - Olivia Rodrigo,azul,1.89,2,19,4
716,Show - Ado,azul,1.56,4,18,1
717,The girl is mine - Michael Jackson,azul,3.8,13,20,4
718,Explícale (feat. Bad Bunny) - Yandel y Bad Bunny,azul,3.5,12,22,3
719,Baby Doll Dominic Fike,azul,2.35,0,19,2
720,This love - Maroon 5,magenta,2.82,13,23,1
721,"Brilloteo, Álvaro Diaz",magenta,2.25,2,21,4
722,Neverita- Bad Bunny,azul,1.23,1,22,1
723,Wicked Games - The Weekend,amarillo,3.37,10,21,1
724,Honeybee - Olivia Rodrigo,amarillo,1.95,5,19,2
725,POWER - Kanye West,azul,1.8,3,22,4
726,Watermelon man version headhunters - Herbie hancock,magenta,3.33,9,19,1
727,Polos opuestos natanael cano,azul,3.46,16,21,5
728,BAMBUA - K-KING Y MAXIMAN,amarillo,2.03,3,21,5
729,Everybody Here Wants You - Jeff Buckley,azul,2.44,2,21,2
730,EVIL - Melanie Martinez,amarillo,3.02,10,21,5
731,Silencio - Rauw Alejandro,magenta,1.61,3,24,1
732,Cake - Melanie Martinez,azul,2.56,10,21,2
733,Vía Láctea - Zoé,magenta,2.25,8,22,4
734,Viento Caifanes,magenta,2.66,6,23,5
735,I'm outta time - Oasis,azul,2.64,13,22,1
736,Under a Violet Moon -- Blackmore's Night,azul,2.98,16,22,1
737,Más Te Recuerdo Julión Alvarez,magenta,2.68,10,22,1
738,Talk - Beabadoobee,azul,3.13,7,20,5
739,"Poetic Justice, Kendrick Lamar",amarillo,3.47,12,25,3
740,"Sofia, Clairo",azul,2.79,9,18,1
741,Under a Violet Moon -- Blackmore's Night,azul,1.58,2,23,2
742,Preso - José José,magenta,3.23,10,19,2
743,Everybody Here Wants You - Jeff Buckley,azul,3.68,10,23,1
744,Cake - Melanie Martinez,azul,2.34,5,18,2
745,Belleza de cantina Cardenales De Nuevo leon,azul,3.61,8,23,4
746,PURPLE - OLIVIA RODRIGO,amarillo,1.87,1,23,1
747,"Nsqk, ciencia ficción",azul,1.22,0,21,5
748,"La torre NY, Natanael Cano",magenta,3.7,14,19,3
749,Dirty Diana - Michael Jackson,azul,4.1,13,19,1
750,Sexy boy de air,azul,2.82,1,18,5
751,Safe and sound- capital cities,azul,1.93,4,20,5
752,Después de ti ¿quién? - La adictiva,azul,2.66,2,20,2
753,"Sofia, Clairo",azul,3.52,8,20,2
754,EoO - Bad Bunny,azul,3.09,5,25,2
755,We are one - Pitbull,amarillo,2.67,5,25,1
756,Caperuza- Fuerza Regida,azul,3.18,10,23,3
757,COMË N GO- Yeat,amarillo,2.72,8,21,5
758,EL ÚNICO - Ca7riel y Paco Amoroso,amarillo,4.03,20,25,3
759,Every Breath You Take - The Police,amarillo,3.2,4,20,5
760,"Jako, Ladaniva",magenta,4.45,18,18,1
761,Bold - Liam Gallagher,amarillo,3.12,13,19,5
762,SUSU - Omar Courts,amarillo,3.13,13,21,3
763,SUSU - Omar Courts,amarillo,4.01,13,20,1
764,Jazz (We’ve Got) - A Tribe Called Quest,magenta,2.36,7,18,4
765,Después de ti ¿quién? - La adictiva,azul,2.71,5,19,1
766,Oye mi amor- mana,magenta,4.14,17,23,5
767,National Treasures - Drake,magenta,2.6,3,18,5
768,21 Guns - Green day,azul,3.88,11,19,5
769,PUNK ROCKY. A$AP ROCKY,azul,2.27,2,23,4
770,Una flor - Pimpinela,magenta,4.23,18,18,4
771,Back of the car - Nate Hendricks,magenta,2.38,9,21,5
772,Ghost Town Kanye West,magenta,2.86,8,24,4
773,LESS THAN A LOVER - JENNIE,magenta,1.6,4,22,1
774,Every Breath You Take - The Police,amarillo,2.71,14,24,3
775,Viento Caifanes,magenta,1.8,6,24,1
776,Ghost Town Kanye West,magenta,3.55,14,18,5
777,"Saraiman, Ladaniva",amarillo,3.88,11,24,1
778,Bodies - Offset,azul,3.57,9,23,1
779,Lil Geniuz- big Booty,amarillo,2.88,8,18,1
780,Back of the car - Nate Hendricks,magenta,2.79,12,18,2
781,Mr. Brightside - The killers,magenta,2.92,8,24,3
782,Gotas de Fuego José José,magenta,2.48,7,22,3
783,Aizo-King Gnu,magenta,2.87,16,20,5
784,Superestrella. Aitana,magenta,3.31,7,20,1
785,Everybody Mac Miller,azul,4.24,16,22,1
786,Symphony- imagine dragons,azul,3,12,21,4
787,NO PODEMOS SER AMIGOS Alvaro Diaz,magenta,4.55,19,23,2
788,SUPERPOSITION. Daniel Caesar,amarillo,4.36,16,19,4
789,Everybody Mac Miller,azul,2.65,11,19,4
790,Triple lavada Luis R Conriquez,magenta,3.43,11,24,4
791,Met Tonight - Zayn,magenta,1.36,2,25,3
792,Una flor - Pimpinela,magenta,2.92,10,18,5
793,Safe and sound- capital cities,azul,2.25,9,24,3
794,Figa de Guiné - Mari Froes,azul,2.04,5,18,5
795,"Eu vreau maritata, Nadia Bologan",amarillo,2.03,0,18,1
796,Treasure In The Hills - Leon Thomas,azul,3.44,20,21,5
797,Stay Post Malone,azul,3.35,8,18,1
798,New Darling -- Maretu,magenta,2.9,5,18,1
799,"Stefan, Hrdza",azul,2.26,7,25,2
800,Dirty Little Secret - The All-American Rejects,azul,3.64,15,19,1
801,Triple lavada Luis R Conriquez,magenta,2.79,2,19,2
802,Saliva - Viktor Vaughn (MF DOOM),azul,3.49,7,23,4
803,It aint me Kygo,magenta,2.54,3,19,3
804,Shinunoga E-Wa - Fuji Kaze,amarillo,3.12,6,25,5
805,si te pillara Beele,magenta,2.22,10,18,3
806,No time to die - Billie Eilish,amarillo,2.25,5,22,3
807,It aint me Kygo,magenta,3.36,10,23,3
808,Wicked Games - The Weekend,amarillo,3.69,16,22,2
809,Polos opuestos natanael cano,azul,4.38,17,22,4
810,Back of the car - Nate Hendricks,magenta,3.4,19,22,4
811,Stay Post Malone,azul,2.27,8,19,3
812,This love - Maroon 5,magenta,4.23,14,24,3
813,"I Still Believe, Hayden Panettiere",amarillo,2.95,10,24,4
814,Aizo-King Gnu,magenta,2.29,6,22,5
815,Te Soñé Coyote,magenta,3.42,11,22,1
816,WHITE BOY WITH A GUN - Melanie Martinez,azul,3.58,19,22,5
817,Honeypie-JAWNY,azul,4.18,18,23,2
818,I Think I Left the Stove On - Hotel Ugly,amarillo,1.84,2,18,4
819,Karmadame - Zoé,magenta,4.64,18,22,2
820,"READY, STEADY, GO! - HARRY STYLES",azul,2.24,4,20,4
821,SexyBack-Justin Timberlake,azul,2.23,6,23,3
822,111- Yan Block,azul,4.59,19,22,5
823,Honeypie-JAWNY,azul,1.33,2,20,4
824,Someone like you-Adele,amarillo,2.65,13,20,4
825,Evergreen-omar apollo,magenta,2.55,0,24,5
826,Aguanta corazon Los invasores de nuevo leon,amarillo,3.25,18,19,5
827,Treasure In The Hills - Leon Thomas,azul,3.08,2,22,2
828,Nadie mas - Nsqk,magenta,3.48,15,23,2
829,Flavius' Girl -- Farya Faraji,magenta,4.2,14,18,1
830,Matte black $uicideboy$,magenta,3.35,9,21,2
831,Past Won’t Leave My Bed. Joji,magenta,3.22,13,20,4
832,PIRLO catriel y paco amoroso,azul,1.21,0,22,5
833,Jazz (We’ve Got) - A Tribe Called Quest,magenta,1.49,1,22,5
834,Happier-Olivia Rodrigo,magenta,4.05,13,24,4
835,Honeypie-JAWNY,azul,3.23,12,24,1
836,"Skin, Mac Miller",amarillo,2.25,11,21,4
837,Under a Violet Moon -- Blackmore's Night,azul,1.98,8,21,3
838,Safe and sound- capital cities,azul,2.52,13,18,1
839,Champagne Supernova - Oasis,azul,3.72,10,18,5
840,Traitor olivia rodrigo,amarillo,1.75,4,22,5
841,Mientrar duermes junior h,amarillo,2.41,6,22,3
842,Vía Láctea - Zoé,magenta,2.53,5,24,4
843,Honeypie-JAWNY,azul,3.74,13,24,1
844,PUNK ROCKY. A$AP ROCKY,azul,2.87,4,18,2
845,PIRLO catriel y paco amoroso,azul,3.81,11,25,4
846,"Mi buen amor - Mon Laferte, Bunbury",amarillo,4.22,19,19,4
847,New Darling -- Maretu,magenta,3.43,15,25,5
848,Yo siempre contesto - Latin Mafia,magenta,3.79,11,20,5
849,Without you -Mariah Carey,magenta,2.57,14,21,1
850,POWER - Kanye West,azul,2.14,4,23,3
851,"Full Moon Full Life - Azumi Takahashi, Lotus Juice y ATLUS Sound Team",amarillo,1.44,1,22,1
852,"Gustavo Cerati, jugo de luna",magenta,2.09,2,24,4
853,Cold Heart - Dua Lipa,amarillo,3.4,11,22,1
854,Una flor - Pimpinela,magenta,2.64,11,23,2
855,Sticks & Stones - Lauren Spencer Smith,magenta,3.87,11,24,4
856,Explícale (feat. Bad Bunny) - Yandel y Bad Bunny,azul,2.78,10,23,1
857,That's what i like - Bruno Mars,azul,3.1,6,20,3
858,COMË N GO- Yeat,amarillo,3.08,18,22,3
859,"Gustavo Cerati, jugo de luna",magenta,4.25,14,21,2
860,Crack Rock - Frank Ocean,azul,3.05,18,22,3
861,Saliva - Viktor Vaughn (MF DOOM),azul,2.31,12,25,3
862,Te estoy Correteando. Latin Mafia,azul,4.31,17,24,4
863,"Wet Dreamz, Jcole",amarillo,3.95,17,20,2
864,National Treasures - Drake,magenta,2.35,11,23,5
865,Treasure In The Hills - Leon Thomas,azul,3.75,20,22,4
866,"Marvin Gaye, If I should die tonight",azul,2.94,5,24,5
867,"Good Luck, Babe! - Chappell Roan",amarillo,2.82,7,19,2
868,Without you -Mariah Carey,magenta,3.14,12,18,5
869,Safe and sound- capital cities,azul,1.76,3,23,5
870,Locked out of heaven-Bruno Mars,amarillo,3.45,11,21,2
871,Stay Post Malone,azul,3.31,9,21,3
872,PERDISTE EL EMMY - Álvaro Díaz,azul,4.71,19,22,4
873,LUNCH - Billie Eilish,magenta,3.04,17,21,1
874,Dirty Little Secret - The All-American Rejects,azul,4.65,20,23,5
875,Without you -Mariah Carey,magenta,3.3,13,24,1
876,"Wet Dreamz, Jcole",amarillo,4.51,18,19,3
877,I Really Want to Stay At Your House-Rosa Walton,magenta,3.43,11,21,4
878,Mientrar duermes junior h,amarillo,4.17,16,19,3
879,Breathe de the prodigy,amarillo,3.23,4,19,3
880,Lil Geniuz- big Booty,amarillo,3.99,15,19,1
881,Porcelain de moby,amarillo,3.61,17,18,1
882,111- Yan Block,azul,2.58,9,25,3
883,Radio - Bershy,magenta,2.08,0,22,4
884,Bambous -- Caravan Palace,amarillo,2.9,16,25,4
885,Luna Roja - Soda Stereo,azul,2.42,13,21,1
886,No tiene sentido - Beele,amarillo,2.8,2,24,3
887,Cómo Le Explico Cornelio Vega,magenta,3.29,6,18,5
888,Whisper My Name. Drake,azul,3.21,10,23,5
889,Headshots - Isaiah Rashad,magenta,2.22,2,18,1
890,PIRLO catriel y paco amoroso,azul,1.41,0,23,3
891,New Darling -- Maretu,magenta,1.54,1,24,4
892,LUNCH - Billie Eilish,magenta,3.6,11,22,4
893,LOVE - Clarent,magenta,4.13,14,19,2
894,Duele. Isi Vives,magenta,2.25,2,19,2
895,EoO - Bad Bunny,azul,4.47,20,23,5
896,"Kendrick Lamar, Gloria",amarillo,3.95,15,23,1
897,"READY, STEADY, GO! - HARRY STYLES",azul,3.51,11,25,3
898,Prisión Los Tigres Del Norte,magenta,4.51,17,19,1
899,"Eu vreau maritata, Nadia Bologan",amarillo,4.11,14,24,2
900,Figa de Guiné - Mari Froes,azul,2.33,0,18,1
